times, acuuracy
0,0.0190625
1,0.021875
2,0.021875
3,0.021875
4,0.031875
5,0.0303125
6,0.0346875
7,0.0303125
8,0.0396875
9,0.02625
10,0.0471875
11,0.05125
12,0.0534375
13,0.04
14,0.0790625
15,0.065
16,0.105625
17,0.1671875
18,0.185
19,0.2453125
20,0.2890625
21,0.3334375
22,0.390625
23,0.3984375
24,0.379375
25,0.39875
26,0.52125
27,0.46375
28,0.5028125
29,0.5709375
30,0.586875
31,0.5484375
32,0.6321875
33,0.598125
34,0.6425
35,0.6640625
36,0.6359375
37,0.6640625
38,0.6915625
39,0.6859375
40,0.6925
41,0.704375
42,0.710625
43,0.715625
44,0.6928125
45,0.69375
46,0.73125
47,0.7259375
48,0.7159375
49,0.7253125
50,0.7121875
51,0.7190625
52,0.7421875
53,0.743125
54,0.7334375
55,0.749375
56,0.76
57,0.76375
58,0.7565625
59,0.765625
60,0.7725
61,0.76625
62,0.766875
63,0.77125
64,0.774375
65,0.778125
66,0.758125
67,0.7684375
68,0.758125
69,0.78625
70,0.7746875
71,0.7684375
72,0.77375
73,0.7465625
74,0.784375
75,0.78125
76,0.7665625
77,0.7571875
78,0.7784375
79,0.7803125
80,0.78
81,0.789375
82,0.780625
83,0.789375
84,0.7940625
85,0.795625
86,0.7928125
87,0.7975
88,0.8003125
89,0.798125
90,0.79
91,0.8
92,0.8
93,0.7990625
94,0.789375
95,0.8028125
96,0.7928125
97,0.7703125
98,0.80125
99,0.8109375
100,0.800625
101,0.808125
102,0.80625
103,0.8084375
104,0.8059375
105,0.8015625
106,0.798125
107,0.8115625
108,0.8140625
109,0.8121875
110,0.805
111,0.8209375
112,0.8096875
113,0.8071875
114,0.79125
115,0.8034375
116,0.813125
117,0.8096875
118,0.8040625
119,0.8071875
120,0.796875
121,0.815
122,0.8103125
123,0.81375
124,0.8134375
125,0.804375
126,0.8146875
127,0.8125
128,0.7925
129,0.8125
130,0.8003125
131,0.81375
132,0.80625
133,0.815
134,0.7953125
135,0.813125
136,0.8165625
137,0.8109375
138,0.8140625
139,0.8178125
140,0.81
141,0.806875
142,0.8090625
143,0.82
144,0.8171875
145,0.8159375
146,0.8128125
147,0.795625
148,0.8165625
149,0.8171875
150,0.814375
151,0.8025
152,0.8084375
153,0.8065625
154,0.8115625
155,0.8190625
156,0.8165625
157,0.805
158,0.8134375
159,0.8215625
160,0.825625
161,0.8165625
162,0.82625
163,0.809375
164,0.825625
165,0.811875
166,0.8171875
167,0.8128125
168,0.810625
169,0.8303125
170,0.8234375
171,0.8109375
172,0.8128125
173,0.8165625
174,0.82375
175,0.821875
176,0.8
177,0.814375
178,0.8259375
179,0.8228125
180,0.8175
181,0.8140625
182,0.8175
183,0.820625
184,0.83375
185,0.830625
186,0.8259375
187,0.825
188,0.790625
189,0.81375
190,0.8215625
191,0.8178125
192,0.831875
193,0.825
194,0.828125
195,0.8253125
196,0.823125
197,0.8325
198,0.826875
199,0.82125
200,0.826875
201,0.83
202,0.83625
203,0.8321875
204,0.8240625
205,0.835
206,0.83625
207,0.8253125
208,0.8278125
209,0.8290625
210,0.82875
211,0.8259375
212,0.834375
213,0.800625
214,0.8315625
215,0.8225
216,0.834375
217,0.8265625
218,0.825
219,0.8309375
220,0.8390625
221,0.8309375
222,0.810625
223,0.820625
224,0.8271875
225,0.8315625
226,0.821875
227,0.8290625
228,0.8303125
229,0.8225
230,0.8346875
231,0.8378125
232,0.83
233,0.8265625
234,0.8290625
235,0.8196875
236,0.835
237,0.831875
238,0.839375
239,0.8340625
240,0.8296875
241,0.8309375
242,0.8234375
243,0.829375
244,0.83625
245,0.829375
246,0.81125
247,0.835
248,0.8278125
249,0.83625
250,0.8278125
251,0.8340625
252,0.8340625
253,0.8309375
254,0.834375
255,0.8328125
256,0.8290625
257,0.825
258,0.8153125
259,0.8409375
260,0.8309375
261,0.8240625
262,0.815
263,0.819375
264,0.8365625
265,0.8315625
266,0.830625
267,0.8346875
268,0.824375
269,0.83875
270,0.809375
271,0.8346875
272,0.8278125
273,0.8265625
274,0.840625
275,0.8365625
276,0.8315625
277,0.8446875
278,0.8325
279,0.835625
280,0.8359375
281,0.8296875
282,0.8375
283,0.8365625
284,0.8290625
285,0.8365625
286,0.8409375
287,0.8009375
288,0.8346875
289,0.823125
290,0.8346875
291,0.820625
292,0.835
293,0.818125
294,0.8390625
295,0.83
296,0.840625
297,0.836875
298,0.8265625
299,0.825
300,0.8325
301,0.8334375
302,0.833125
303,0.8215625
304,0.839375
305,0.826875
306,0.845625
307,0.8434375
308,0.836875
309,0.8371875
310,0.8409375
311,0.83875
312,0.8353125
313,0.84125
314,0.8428125
315,0.8440625
316,0.8409375
317,0.8471875
318,0.84
319,0.838125
